"movie","distributor","gross","percent_change","theaters","per_theater","total_gross","days","date"
"Zootopia","Walt Disney",19500008,NA,3827,5095,19500008,1,2016-03-04
"London Has Fallen","Focus Features",7537518,NA,3490,2160,7537518,1,2016-03-04
"Whiskey Tango Foxtrot","Paramount Pictures",2425301,NA,2374,1022,2425301,1,2016-03-04
"The Other Side of the Door","20th Century Fox",378354,NA,546,693,378354,1,2016-03-04
"Bakemono no ko","FUNimation",103104,NA,123,838,103104,1,2016-03-04
"Zootopia","Walt Disney",31636202,62,3827,8267,51136210,2,2016-03-05
"London Has Fallen","Focus Features",8515481,13,3490,2440,16052999,2,2016-03-05
"Whiskey Tango Foxtrot","Paramount Pictures",3197225,32,2374,1347,5622526,2,2016-03-05
"The Other Side of the Door","20th Century Fox",499313,32,546,914,877667,2,2016-03-05
"Bakemono no ko","FUNimation",97597,5,122,800,200701,2,2016-03-05
"Zootopia","Walt Disney",23927191,24,3827,6252,75063401,3,2016-03-06
"London Has Fallen","Focus Features",5582602,34,3490,1600,21635601,3,2016-03-06
"Whiskey Tango Foxtrot","Paramount Pictures",1827749,43,2374,770,7450275,3,2016-03-06
"The Other Side of the Door","20th Century Fox",333543,33,546,611,1211210,3,2016-03-06
"Bakemono no ko","FUNimation",73546,25,122,603,274247,3,2016-03-06
"Zootopia","Walt Disney",4543674,81,3827,1187,79607075,4,2016-03-07
"London Has Fallen","Focus Features",1654414,70,3490,474,23290015,4,2016-03-07
"Whiskey Tango Foxtrot","Paramount Pictures",563073,69,2374,237,8013348,4,2016-03-07
"The Other Side of the Door","20th Century Fox",104028,69,546,191,1315238,4,2016-03-07
"Bakemono no ko","FUNimation",24654,66,119,207,298901,4,2016-03-07
"Zootopia","Walt Disney",5374968,18,3827,1404,84982043,5,2016-03-08
"London Has Fallen","Focus Features",2130561,29,3490,610,25420576,5,2016-03-08
"Whiskey Tango Foxtrot","Paramount Pictures",807837,43,2374,340,8821185,5,2016-03-08
"The Other Side of the Door","20th Century Fox",119728,15,546,219,1434966,5,2016-03-08
"Zootopia","Walt Disney",3724824,31,3827,973,88706867,6,2016-03-09
"London Has Fallen","Focus Features",1415206,34,3490,406,26835782,6,2016-03-09
"Whiskey Tango Foxtrot","Paramount Pictures",585281,28,2374,247,9406466,6,2016-03-09
"The Other Side of the Door","20th Century Fox",94859,21,546,174,1529825,6,2016-03-09
"Zootopia","Walt Disney",3908259,5,3827,1021,92615126,7,2016-03-10
"London Has Fallen","Focus Features",1346270,5,3490,386,28182052,7,2016-03-10
"Whiskey Tango Foxtrot","Paramount Pictures",565437,3,2374,238,9971903,7,2016-03-10
"The Other Side of the Door","20th Century Fox",80955,15,546,148,1610780,7,2016-03-10
"Zootopia","Walt Disney",12084077,209,3827,3158,104699203,8,2016-03-11
"10 Cloverfield Lane","Paramount Pictures",8981274,NA,3391,2649,8981274,1,2016-03-11
"London Has Fallen","Focus Features",3008224,123,3492,861,31190276,8,2016-03-11
"The Perfect Match","Lionsgate",1554061,NA,925,1680,1554061,1,2016-03-11
"The Young Messiah","Focus Features",1388013,NA,1761,788,1388013,1,2016-03-11
"Whiskey Tango Foxtrot","Paramount Pictures",1346218,138,2413,558,11318121,8,2016-03-11
"The Brothers Grimsby","Sony Pictures",1206061,NA,2235,540,1206061,1,2016-03-11
"The Other Side of the Door","20th Century Fox",197647,144,585,338,1808427,8,2016-03-11
"Eye in the Sky","Bleecker Street",32820,NA,5,6564,32820,1,2016-03-11
"Hello My Name is Doris","Roadside Attractions",23873,NA,4,5968,23873,1,2016-03-11
"Zootopia","Walt Disney",22696848,88,3827,5931,127396051,9,2016-03-12
"10 Cloverfield Lane","Paramount Pictures",9682560,8,3391,2855,18663834,2,2016-03-12
"London Has Fallen","Focus Features",4762868,58,3492,1364,35953144,9,2016-03-12
"Whiskey Tango Foxtrot","Paramount Pictures",2086914,55,2413,865,13405035,9,2016-03-12
"The Perfect Match","Lionsgate",1731442,11,925,1872,3285503,2,2016-03-12
"The Brothers Grimsby","Sony Pictures",1210420,NA,2235,542,2416481,2,2016-03-12
"The Young Messiah","Focus Features",1096516,21,1761,623,2484529,2,2016-03-12
"The Other Side of the Door","20th Century Fox",304958,54,585,521,2113385,9,2016-03-12
"Eye in the Sky","Bleecker Street",49635,51,5,9927,82455,2,2016-03-12
"Hello My Name is Doris","Roadside Attractions",35518,49,4,8880,59391,2,2016-03-12
"Zootopia","Walt Disney",16558962,27,3827,4327,143955013,10,2016-03-13
"10 Cloverfield Lane","Paramount Pictures",6063603,37,3391,1788,24727437,3,2016-03-13
"London Has Fallen","Focus Features",3064986,36,3492,878,39018130,10,2016-03-13
"Whiskey Tango Foxtrot","Paramount Pictures",1231881,41,2413,511,14636916,10,2016-03-13
"The Perfect Match","Lionsgate",1008729,42,925,1091,4294232,3,2016-03-13
"The Brothers Grimsby","Sony Pictures",841846,30,2235,377,3258327,3,2016-03-13
"The Young Messiah","Focus Features",810347,26,1761,460,3294876,3,2016-03-13
"The Other Side of the Door","20th Century Fox",186972,39,585,320,2300357,10,2016-03-13
"Eye in the Sky","Bleecker Street",31348,37,5,6270,113803,3,2016-03-13
"Hello My Name is Doris","Roadside Attractions",25595,28,4,6399,84986,3,2016-03-13
"Zootopia","Walt Disney",4601180,72,3827,1202,148556193,11,2016-03-14
"10 Cloverfield Lane","Paramount Pictures",2087765,66,3391,616,26815202,4,2016-03-14
"London Has Fallen","Focus Features",1009795,67,3492,289,40027925,11,2016-03-14
"Whiskey Tango Foxtrot","Paramount Pictures",420929,66,2413,174,15057845,11,2016-03-14
"The Brothers Grimsby","Sony Pictures",320208,62,2235,143,3578535,4,2016-03-14
